Bus,Type,Nitte,Padubidri,
Vishal,Express,07:30,08:04,
Reshma,Hybrid,07:42,08:16,
Navadurga Prasad,Express,08:12,08:46,
Srilaxmi,Local,08:23,08:57,
Kusuma,Express,08:39,09:13,
Milan,Local,08:58,09:32,
Vishal,Express,09:12,09:46,
Mercy,Local,09:27,10:01,
Navadurga Prasad,Express,09:48,10:22,
Keerthi,Local,10:12,10:46,
Navadurga Prasad,Express,10:27,11:01,
Sangam,Local,10:41,11:15,
Laxmi Ganesh,Express,10:59,11:33,
Padmambikaa,Express,11:12,11:46,
Vishal,Express,11:27,12:01,
Shahil,Local,11:41,12:15,
Vishal,Express,11:55,12:29,
Vishal,Express,12:10,12:44,
Christa Jyothi,Local,12:26,13:00,
Vishal,Express,12:39,13:13,
Navadurga Prasad,Express,12:56,13:30,
Sangam,Local,13:09,13:43,
Bharathi,Express,13:24,13:58,
Bharathi,Express,13:48,14:22,
Navadurga Prasad,Express,14:02,14:36,
Vishal,Express,14:18,14:52,
Milan,Local,14:34,15:08,
Sangam,Local,14:56,15:30,
Laxmi Ganesh,Express,15:14,15:48,
Reshma,Express,15:34,16:08,
Christa Jyothi,Local,15:56,16:30,
Padmambikaa,Express,16:24,16:58,
Pranam,Local,16:42,17:16,
Sangam,Local,17:10,17:44,
Rashmi Travels,Local,17:34,18:08,
