Bus,Type,Nitte,Udupi,
Vishal,Express,07:30,08:45,
Reshma,Hybrid,07:47,09:02,
Navadurga Prasad,Express,07:58,09:13,
Srilaxmi,Local,08:10,09:25,
Kusuma,Express,08:23,09:38,
Milan,Local,08:32,09:47,
Vishal,Express,08:49,10:04,
Mercy,Local,08:58,10:13,
Navadurga Prasad,Express,09:10,10:25,
Keerthi,Local,09:22,10:37,
Navadurga Prasad,Express,09:37,10:52,
Sangam,Local,09:48,11:03,
Laxmi Ganesh,Express,10:15,11:30,
Padmambikaa,Express,10:36,11:21,
Vishal,Express,10:49,12:04,
Shahil,Local,11:05,12:20,
Vishal,Express,11:32,12:47,
Vishal,Express,11:47,13:02,
Christa Jyothi,Local,11:58,13:13,
Vishal,Express,12:16,13:31,
Navadurga Prasad,Express,12:31,13:46,
Sangam,Local,12:48,14:03,
Bharathi,Express,13:05,14:20,
Bharathi,Express,13:23,14:38,
Navadurga Prasad,Express,13:44,14:59,
Vishal,Express,13:58,15:13,
Milan,Local,14:15,15:30,
Sangam,Local,14:37,15:52,
Laxmi Ganesh,Express,14:43,15:58,
Reshma,Express,15:02,16:17,
Christa Jyothi,Local,15:22,16:37,
Padmambikaa,Express,15:28,16:43,
Pranam,Local,15:56,17:11,
Sangam,Local,16:14,17:29,
Rashmi Travels,Local,16:22,17:37,
Naveen,Local,16:43,17:58,
Padmambikaa,Express,16:59,18:14,
Christa Kiran,Express,17:15,18:30,
Naveen,Local,17:32,18:47,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
