Bus,Type,Karkala,Udupi
Vishal,Express,07:30,07:50
Reshma,Hybrid,07:32,07:52
Navadurga Prasad,Express,07:35,07:55
Srilaxmi,Local,07:51,08:11
Kusuma,Express,08:03,08:23
Milan,Local,08:08,08:28
Vishal,Express,08:10,08:30
Mercy,Local,08:22,08:42
Navadurga Prasad,Express,08:36,08:56
Keerthi,Local,08:37,08:57
Navadurga Prasad,Express,08:41,09:01
Sangam,Local,09:17,09:37
Laxmi Ganesh,Express,09:20,09:40
Padmambikaa,Express,10:17,10:37
Vishal,Express,11:33,11:53
Shahil,Local,12:03,12:23
Vishal,Express,12:05,12:25
Vishal,Express,12:11,12:31
Christa Jyothi,Local,12:11,12:31
Vishal,Express,12:16,12:36
Navadurga Prasad,Express,12:24,12:44
Sangam,Local,12:43,13:03
Bharathi,Express,12:44,13:04
Bharathi,Express,12:50,13:10
Navadurga Prasad,Express,12:52,13:12
Vishal,Express,01:03,01:23
Milan,Local,01:10,01:30
Sangam,Local,01:16,01:36
Laxmi Ganesh,Express,01:23,01:43
Reshma,Express,01:35,01:55
Christa Jyothi,Local,01:43,02:03
Padmambikaa,Express,01:47,02:07
Pranam,Local,02:06,02:26
Sangam,Local,02:15,02:30
Rashmi Travels,Local,02:25,02:45
Naveen,Local,02:36,02:56
Padmambikaa,Express,02:51,03:11
Christa Kiran,Express,02:54,03:14
Naveen,Local,03:06,03:26
Padmambikaa,Express,03:09,03:29
Vishal,Express,03:24,03:44
Ayra,Express,03:28,03:48
Sangam,Local,03:40,04:00
Vishal,Express,03:43,04:03
Shree Annapoorneshwari,Express,03:55,04:15
Mercy,Express,04:08,04:28
Navadurga Prasad,Express,04:12,04:32
Kanthi,Local,04:21,04:41
Vishal,Express,04:26,04:46
Vishal,Express,04:40,05:00
Sangam,Local,04:44,05:04
Vishal,Express,04:46,05:06
Vishal,Express,04:59,05:19
Pranam,Local,05:07,05:27
