Bus,Type,Udupi,Karkala,,,
Vishal,Express,07:30,08:25,,,
Reshma,Hybrid,07:32,08:27,,,
Navadurga Prasad,Express,07:35,08:30,,,
Srilaxmi,Local,07:51,08:46,,,
Kusuma,Express,08:03,08:58,,,
Milan,Local,08:08,09:03,,,
Vishal,Express,08:10,09:05,,,
Mercy,Local,08:22,09:17,,,
Navadurga Prasad,Express,08:36,09:31,,,
Keerthi,Local,08:37,09:32,,,
Navadurga Prasad,Express,08:41,09:36,,,
Sangam,Local,09:17,10:12,,,
Laxmi Ganesh,Express,09:20,10:15,,,
Padmambikaa,Express,10:17,11:12,,,
Vishal,Express,11:33,12:28,,,
Shahil,Local,12:03,12:58,,,
Vishal,Express,12:05,13:00,,,
Vishal,Express,12:11,13:06,,,
Christa Jyothi,Local,12:11,13:06,,,
Vishal,Express,12:16,13:11,,,
Navadurga Prasad,Express,12:24,13:19,,,
Sangam,Local,12:43,13:38,,,
Bharathi,Express,12:44,13:39,,,
Bharathi,Express,12:50,13:04,,,
Navadurga Prasad,Express,12:52,13:47,,,
Vishal,Express,13:03,13:58,,,
Milan,Local,13:10,14:05,,,
Sangam,Local,13:16,14:11,,,
Laxmi Ganesh,Express,13:23,14:18,,,
Reshma,Express,13:35,14:30,,,
Christa Jyothi,Local,13:43,14:38,,,
Padmambikaa,Express,13:47,14:42,,,
Pranam,Local,14:06,15:01,,,
Sangam,Local,14:15,15:10,,,
Rashmi Travels,Local,14:25,15:20,,,
Naveen,Local,14:36,15:31,,,
Padmambikaa,Express,14:51,15:46,,,
Christa Kiran,Express,14:54,15:49,,,
Naveen,Local,15:06,16:01,,,
Padmambikaa,Express,15:09,16:04,,,
Vishal,Express,15:24,16:19,,,
Ayra,Express,15:28,16:23,,,
Sangam,Local,15:40,16:35,,,
Vishal,Express,15:43,16:38,,,
Shree Annapoorneshwari,Express,15:55,16:50,,,
Mercy,Express,16:08,17:03,,,
Navadurga Prasad,Express,16:12,17:07,,,
Kanthi,Local,16:21,17:16,,,
Vishal,Express,16:26,17:21,,,
Vishal,Express,16:40,17:35,,,
Sangam,Local,16:44,17:39,,,
Vishal,Express,16:46,17:41,,,
Vishal,Express,16:59,17:54,,,
Pranam,Local,17:07,18:02,,,
